Term	TermType	en	de	es	fr	it	ja-JP	ko	pl	pt-BR	ru	zh-Hans	zh-Hant
Achievements/ADVENTURE_BEGIN	Achievements	Adventure Begins	Das Abenteuer beginnt	Comienza la aventura	L'aventure commence	Inizia l'avventura	冒険のはじまり	모험의 시작	Początek przygody	A Aventura Começa	Приключение начинается	冒险开始	冒險開始
Achievements/ADVENTURE_BEGIN_DESC	Achievements	Complete the training stage.	Schließe den Trainingslevel ab.	Completa la fase de entrenamiento.	Vous avez terminé le niveau d'entraînement !	Completa la fase di addestramento.	トレーニングステージをクリアする。	훈련 스테이지를 완료하세요.	Ukończ układ szkoleniowy.	Conclua a fase de treinamento!	Пройдите обучающий уровень.	通过训练关卡！	通過訓練關卡！
Achievements/WORLD_1_CASUAL_CLEAR	Achievements	Misty Forest Traveler	Reise in den Nebelwald	Viajero del Bosque Neblinoso	Voyageur de la Forêt des brumes	Viaggiatore della Foresta nebbiosa	霧のフォレスト旅行記	안개숲 여행자	Podróżnik po Mglistym Lesie	Viajante da Floresta Nebulosa	Путешественник Туманного леса	迷雾森林旅行者	迷霧森林旅行者
Achievements/WORLD_1_CASUAL_CLEAR_DESC	Achievements	Clear the Misty Forest on Casual or higher.	Schließe den Nebelwald auf Schwierigkeitsgrad Einfach ab.	Supera el Bosque Neblinoso en dificultad Casual o superior.	Terminez la Forêt des brumes en difficulté Relax ou plus.	Completa la Foresta nebbiosa in modalità Casuale o superiore.	難易度カジュアル以上で「霧のフォレスト」をクリアする。	캐주얼 이상 난이도에서 안개숲을 클리어하세요.	Ukończ Mglisty Las na poziomie trudności Łatwym lub wyższym.	Conclua a Floresta Nebulosa na dificuldade Casual ou superior.	Пройдите Туманный лес на уровне сложности «Легкий» или выше.	通过休闲或更高难度的迷雾森林	通過休閒或更高難度的迷霧森林
Achievements/WORLD_2_CASUAL_CLEAR	Achievements	Bone Desert Traveler	Reise in die Knochenwüste	Viajero del Desierto Osario	Voyageur du Désert des os	Viaggiatore del Deserto delle ossa	骨のデザート旅行記	뼈의 사막 여행자	Podróżnik po Pustyni Kości	Viajante do Deserto dos Ossos	Путешественник по Костяной пустыне	白骨沙漠旅行者	白骨沙漠旅行者
Achievements/WORLD_2_CASUAL_CLEAR_DESC	Achievements	Clear the Bone Desert on Casual or higher.	Schließe die Knochenwüste auf Schwierigkeitsgrad Einfach ab.	Supera el Desierto Osario en dificultad Casual o superior.	Terminez le Désert des os en difficulté Relax ou plus.	Completa il Deserto delle ossa in modalità Casuale o superiore.	難易度カジュアル以上で「骨のデザート」をクリアする。	캐주얼 이상 난이도에서 뼈의 사막을 클리어하세요.	Ukończ Pustynię Kości na poziomie trudności Łatwym lub wyższym.	Conclua o Deserto dos Ossos na dificuldade Casual ou superior.	Пройдите Костяную пустыню на уровне сложности «Легкий» или выше.	通过休闲或更高难度的白骨沙漠	通過休閒或更高難度的白骨沙漠
Achievements/WORLD_3_CASUAL_CLEAR	Achievements	Frost Ruins Traveler	Reise in die Eisruine	Viajero de las Ruinas Heladas	Voyageur des Ruines gelées	Viaggiatore delle Rovine ghiacciate	氷のルーイン旅行記	서리 유적 여행자	Podróżnik po Mroźnych Ruinach	Viajante das Ruínas Gélidas	Путешественник по Ледяным руинам	寒霜遗迹旅行者	寒霜遺跡旅行者
Achievements/WORLD_3_CASUAL_CLEAR_DESC	Achievements	Clear the Frost Ruins on Casual or higher.	Schließe die Eisruine auf Schwierigkeitsgrad Einfach ab.	Supera las Ruinas Heladas en dificultad Casual o superior.	Terminez les Ruines gelées en difficulté Relax ou plus.	Completa le Rovine ghiacciate in modalità Casuale o superiore.	難易度カジュアル以上で「氷のルーイン」をクリアする。	캐주얼 이상 난이도에서 서리 유적을 클리어하세요.	Ukończ Mroźne Ruiny na poziomie trudności Łatwym lub wyższym.	Conclua as Ruínas Gélidas na dificuldade Casual ou superior.	Пройдите Ледяные руины на уровне сложности «Легкий» или выше.	通过休闲或更高难度的寒霜遗迹	通過休閒或更高難度的寒霜遺跡
Achievements/WORLD_4_CASUAL_CLEAR	Achievements	Sealed Citadel Traveler	Reise in die Versiegelte Zitadelle	Viajero de la Ciudadela Sellada	Voyageur de la Citadelle interdite	Viaggiatore della Cittadella Segreta	封印のシタデル旅行記	봉인된 성채 여행자	Podróżnik po Zamkniętej Cytadeli	Viajante da Cidade Selada	Путешественник по Запечатанной цитадели	封印之城旅行者	封印之城旅行者
Achievements/WORLD_4_CASUAL_CLEAR_DESC	Achievements	Clear the Sealed Citadel on Casual or higher.	Schließe die Versiegelte Zitadelle auf Schwierigkeitsgrad Einfach ab.	Supera la Ciudadela Sellada en dificultad Casual o superior.	Terminez la Citadelle interdite en difficulté Relax ou plus.	Completa la Cittadella Segreta in modalità Casuale o superiore.	難易度カジュアル以上で「封印のシタデル」をクリアする。	캐주얼 이상 난이도에서 봉인된 성채를 클리어하세요.	Ukończ Zamkniętą Cytadelę na poziomie trudności Łatwym lub wyższym.	Conclua a Cidade Selada na dificuldade Casual ou superior.	Пройдите Запечатанную цитадель на уровне сложности «Легкий» или выше.	通过休闲或更高难度的封印之城	通過休閒或更高難度的封印之城
